Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C17, C19, C2, C24, C27, C59, C60, C61",0805,10,10u,C15850
"C10, C14, C18, C25, C28, C4, C58, C62",0603,8,.1u,C14663
"C11, C12, C20, C21",0603,4,2.2u,C377773
"C15, C23, C30, C5, C55, C8, C9",0402,7,1u,C52923
C16,0603,1,1.5n,C1595
"C22, C26, C7",0805,3,4.7u,C1779
C29,0402,1,15p,C1548
C3,0603,1,680p,C1630
"C31, C32, C34, C35, C36, C37, C40, C41, C42, C43, C46, C47, C48, C49, C51, C52",0805,16,10n,C441760
"C33, C38, C39, C44, C45, C50, C53, C54",1206,8,100n,C338082
C56,1206,1,47u,C96123
"C57, C6",0402,2,4.7p,C1569
"CR2, CR3",DIODE_DFN1608D-2_NEX,2,PMEG4020EPK_315,C2999988
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",SOT-23,16,BAT54S,C727126
D17,SOT-23,1,BAV99,C2500
FB1,1206,1,500 2A,C515371
"FB2, FB3",0603,2,120 1A,C2983009
L1,IND_XGL4020_COC,1,XGL4020-152MEC,
L5,IC4_MSD7342-252MLB_COC,1,2.5u,
"R1, R10, R13, R16, R5",0805,5,1M,C17514
"R11, R2",0805,2,270K,C17589
R12,0805,1,30k,C17621
R14,0805,1,120K, C17436
R15,0805,1,33k,C17633
R17,0805,1,100k,C149504
R18,0805,1,240,C17572
R19,0805,1,430,C17695
"R20, R44, R50",0805,3,10,C17415
"R21, R22, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38",0805,16,100,C17408
R23,0805,1,1k,C17513
R24,0805,1,2K,C17604
"R3, R7",0805,2,68k,C17801
"R39, R40, R41, R42, R45, R46, R47, R48",0805,8,680,C17798
"R4, R8",0805,2,20k,C4328
R43,0805,1,10k,C17414
R49,0805,1,300,C17630
R51,0805,1,680,
R52,0805,1,16k,C17490
R6,0805,1,47K,C17713
R9,0805,1,39k,C25826
U1,CP_32_12_ADI,1,AD7124-8BCPZ,C97314
"U10, U11",DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm,2,LT3045xDD,C666574
"U2, U5",05-08-1699_ADI,2,LT8333RDD-PBF,C673740
U4,DFN-12-1EP_3x3mm_P0.45mm_EP1.65x2.38mm_ThermalVias,1,LT3094xDD,C670492
U7,QSOP20_SIL,1,SI8380PM-IU,C7315580
U9,SIT8008BC-83-33E-10.000000_SIT,1,SIT8008BC-83-33E-2.4576,
