Designator,Mid X,Mid Y,Rotation,Layer
C1,109.575,-41.005,270.0,top
C10,122.85,-38.505,90.0,top
C11,135.0,-44.0,270.0,top
C12,140.0,-44.0,270.0,top
C13,139.4,-89.3,270.0,top
C15,138.9,-86.4,270.0,top
C17,158.25,-42.5,0.0,top
C18,131.4125,-91.4,90.0,top
C19,129.5125,-91.5,270.0,top
C2,120.95,-38.505,90.0,top
C20,153.2,-89.4625,270.0,top
C21,150.7,-85.0,180.0,top
C22,166.1375,-85.9125,270.0,top
C24,163.75,-83.5,90.0,top
C25,174.75,-69.75,270.0,top
C28,175.5,-59.0,90.0,top
C29,170.75,-67.5,0.0,top
C3,164.0,-65.2,90.0,top
C30,176.25,-69.25,270.0,top
C31,186.0,-51.45,180.0,top
C32,186.0,-53.95,0.0,top
C33,191.0,-52.45,90.0,top
C34,186.0,-56.45,180.0,top
C35,186.0,-58.95,0.0,top
C36,186.0,-61.45,180.0,top
C37,186.0,-63.95,0.0,top
C38,191.0,-57.45,90.0,top
C39,191.0,-62.45,90.0,top
C4,135.5,-84.3,90.0,top
C40,186.0,-66.45,180.0,top
C41,186.05,-68.95,0.0,top
C42,186.05,-71.45,180.0,top
C43,186.05,-73.95,0.0,top
C44,191.0,-67.45,90.0,top
C45,191.0,-72.475,90.0,top
C46,186.0,-76.45,180.0,top
C47,186.0,-78.95,0.0,top
C48,186.0,-81.45,180.0,top
C49,186.0,-48.95,0.0,top
C5,110.35,-38.205,270.0,top
C50,191.0,-47.45,90.0,top
C51,186.0,-46.5,180.0,top
C52,186.0,-83.95,0.0,top
C53,191.0,-77.45,90.0,top
C54,191.0,-82.45,90.0,top
C55,173.25,-61.5,90.0,top
C56,105.0,-41.5,270.0,top
C57,134.2,-92.6,0.0,top
C58,102.0,-78.0,0.0,top
C59,150.2,-42.2,90.0,top
C6,116.95,-38.705,90.0,top
C60,155.5,-86.0,270.0,top
C61,152.9,-69.3,90.0,top
C62,170.0,-57.0,90.0,top
C7,158.0,-45.5,270.0,top
C8,91.5,-43.0,270.0,top
C9,99.0,-43.0,270.0,top
D1,200.0,-46.0,0.0,top
D10,200.0,-71.0,0.0,top
D11,195.0,-68.9,0.0,top
D12,195.0,-74.0,0.0,top
D13,200.0,-76.0,0.0,top
D14,200.0,-81.0,0.0,top
D15,195.0,-78.9,0.0,top
D16,195.0,-83.9,0.0,top
D17,150.2,-75.6,0.0,top
D18,117.75,-41.305,180.0,top
D19,134.4,-81.5,270.0,top
D2,195.0,-49.0,0.0,top
D3,200.0,-51.0,0.0,top
D4,195.0,-53.95,0.0,top
D5,200.0,-56.4,0.0,top
D6,200.0,-61.0,0.0,top
D7,195.0,-58.9,0.0,top
D8,195.0,-63.95,0.0,top
D9,200.0,-66.0,0.0,top
FB1,95.8,-39.0,0.0,top
FB2,137.8,-41.5,0.0,top
FB3,153.2,-86.0625,90.0,top
L1,113.35,-43.905,270.0,top
L5,129.0,-84.4,0.0,top
R1,118.85,-38.505,90.0,top
R10,134.4125,-90.8,180.0,top
R11,137.2125,-91.6,90.0,top
R12,163.8875,-87.9125,90.0,top
R13,161.5,-81.0,270.0,top
R14,161.5,-77.5,270.0,top
R18,169.75,-46.5,180.0,top
R19,167.0,-43.75,270.0,top
R2,113.75,-35.705,180.0,top
R20,159.0,-81.0,270.0,top
R21,205.5,-45.95,0.0,top
R22,205.4125,-48.95,0.0,top
R23,166.25,-57.5,0.0,top
R24,160.5,-45.5,270.0,top
R25,205.4125,-50.95,0.0,top
R26,205.5,-53.95,0.0,top
R27,205.5,-56.45,0.0,top
R28,205.5,-58.95,0.0,top
R29,205.5,-60.95,0.0,top
R30,205.5,-63.95,0.0,top
R31,205.5,-65.95,0.0,top
R32,205.5,-68.95,0.0,top
R33,205.5,-70.95,0.0,top
R34,205.5,-73.95,0.0,top
R35,205.5,-75.95,0.0,top
R36,205.5,-78.95,0.0,top
R37,205.5,-80.95,0.0,top
R38,205.5,-83.95,0.0,top
R39,93.4,-90.1625,90.0,top
R40,96.35,-90.1625,90.0,top
R41,99.75,-90.1625,90.0,top
R42,102.25,-90.1625,90.0,top
R44,169.75,-44.5,0.0,top
R45,111.75,-90.3375,90.0,top
R46,114.7,-90.3375,90.0,top
R47,116.75,-90.3375,90.0,top
R48,119.0,-90.3375,90.0,top
R49,156.75,-81.0,90.0,top
R5,157.5,-39.70625,90.0,top
R50,166.25,-46.5,180.0,top
R51,150.6,-45.8,270.0,top
R52,158.4,-89.4,270.0,top
R6,157.5,-35.70625,90.0,top
R7,163.0,-45.5,270.0,top
U1,177.25,-64.0,90.0,top
U11,153.84,-43.905,270.0,top
U2,113.43555,-38.655001,0.0,top
U3,135.7,-87.3,180.0,top
U4,160.5175,-85.5,270.0,top
U5,158.8,-67.9,180.0,top
U7,102.5,-83.5,90.0,top
U9,169.25,-62.75,0.0,top
